student_id,gpa,interests,major,interest_alignment,predicted_gpa,progress_score,recommended_courses
S033,0.0,"['Security', 'AI']",Cyber Security,0.0,1.9621338119332776,0.25,"CS101, MATH101"
S034,0.0,"['Security', 'AI']",Cyber Security,0.0,2.0438654160751777,0.25,"CS101, MATH101"
S035,4.0,"['Systems', 'Core']",Computer Science,0.5,3.8928672617875506,0.375,"CS201, MATH101"
S036,0.0,"['Security', 'Data Science']",Computer Science,0.0,2.013627064518543,0.25,"CS101, MATH101"
S037,3.57,"['Data Science', 'AI']",Data Science,0.0,3.411679540929697,0.75,"CS301, SEC301, ELEC2"
S038,3.48,"['AI', 'Core']",AI Engineering,0.25,3.191764157142385,0.875,"CS401, SEC401, ELEC1, ELEC2"
S039,2.6,"['Data Science', 'AI']",Data Science,0.25,2.537436965139227,0.8125,"CS301, DS401, SEC301, ELEC2"
S040,2.92,"['Security', 'Data Science']",Computer Science,0.0,2.6614435743119746,0.5833333333333334,"CS301, MATH101, ELEC1"
S041,1.62,"['Data Science', 'Security']",Data Science,0.0,2.01593095512679,0.5,"CS201, MATH201"
S042,2.75,"['AI', 'Data Science']",AI Engineering,0.0,2.601084122650107,0.5,CS201
S043,2.46,"['AI', 'Systems']",AI Engineering,0.0,2.2382067173881306,0.25,CS101
S044,3.12,"['Security', 'Data Science']",Cyber Security,0.0,2.9287978357334006,0.375,"CS101, MATH201"
S045,2.76,"['Data Science', 'Security']",Data Science,0.0,2.4893134574293074,0.375,"CS201, MATH101"
S046,3.25,"['Security', 'Data Science']",Cyber Security,0.0,3.307253874250282,0.25,CS101
S047,0.0,"['Security', 'Data Science']",Cyber Security,0.0,1.8580357754421595,0.25,"CS101, MATH101"
S048,0.0,"['AI', 'Security']",AI Engineering,0.0,1.9621338119332776,0.25,"CS101, MATH101"
S049,2.14,"['Data Science', 'Security']",Data Science,0.0,2.191467513492606,0.375,"CS201, MATH101"
S050,3.7,"['AI', 'Core']",AI Engineering,0.5,3.508154380215671,0.9375,"AI402, CS401, SEC401, ELEC2"
S051,2.9,"['Data Science', 'Security']",Data Science,1.0,3.1715482650417175,0.75,"DS201, SEC401, SEC301, ELEC2"
S052,2.76,"['Security', 'Data Science']",Cyber Security,0.0,2.5882494115276775,0.375,"CS101, MATH201"
S053,0.0,"['AI', 'Data Science']",AI Engineering,0.0,1.9047933351568438,0.25,"CS101, MATH101"
S054,3.49,"['AI', 'Core']",AI Engineering,0.5,3.483404340658776,0.875,"AI402, CS401, SEC301, ELEC2"
S055,0.0,"['Data Science', 'Systems']",Computer Science,0.0,1.7864874358010157,0.25,"CS101, MATH101"
S056,0.0,"['AI', 'Security']",AI Engineering,0.0,2.0438654160751777,0.25,"CS101, MATH101"
S057,4.0,"['AI', 'Core']",AI Engineering,0.5,3.9058596393927063,0.5,"CS201, MATH201"
S058,0.0,"['AI', 'Data Science']",AI Engineering,0.0,2.1127615033531555,0.25,"CS101, MATH101"
S059,3.83,"['AI', 'Core']",AI Engineering,0.0,3.37619517895822,0.6875,"MATH101, SEC401, SEC301, ELEC2"
S060,2.93,"['Systems', 'Core']",Computer Science,0.25,2.912372781110024,0.9375,"CS401, SEC401, AI402, AI301"
S061,3.56,"['AI', 'Systems']",AI Engineering,0.0,3.5115699270090617,0.375,"CS101, MATH201"
S062,0.0,"['AI', 'Systems']",Computer Science,0.0,1.7665827266504712,0.25,"CS101, MATH101"
S063,0.0,"['Systems', 'Data Science']",Computer Science,0.0,2.071352198390989,0.25,"CS101, MATH101"
S064,3.35,"['Core', 'Data Science']",Computer Science,0.0,3.0715605054999773,0.6666666666666666,"MATH101, SEC401, AI301"
S065,3.98,"['AI', 'Core']",AI Engineering,0.0,3.642210814663815,0.75,"MATH201, SEC401, SEC301, ELEC1"
S066,0.0,"['Data Science', 'Systems']",Data Science,0.0,2.0152290117384326,0.25,"CS101, MATH101"
S067,0.0,"['Data Science', 'Systems']",Data Science,0.0,1.7864874358010157,0.25,"CS101, MATH101"
S068,0.0,"['Security', 'Systems']",Cyber Security,0.0,1.957858783599781,0.25,"CS101, MATH101"
S069,2.95,"['AI', 'Security']",AI Engineering,0.75,3.1649517599390853,0.6875,"AI301, SEC301, ELEC2, DS201"
S070,2.25,"['AI', 'Security']",AI Engineering,0.25,2.178357091419741,0.6875,"CS301, MATH201, SEC301, ELEC1"
S071,2.34,"['Systems', 'AI']",Computer Science,0.0,2.4270529213687855,0.375,"CS201, MATH101"
S072,3.13,"['Security', 'Core']",Cyber Security,0.0,2.9469797015334436,0.5,"MATH101, AI301"
S073,3.74,"['Security', 'AI']",Cyber Security,1.0,3.792674759416101,0.875,"SEC401, ELEC2, SEC301, AI402"
S074,0.0,"['Systems', 'AI']",Computer Science,0.0,2.0938393965549027,0.25,"CS101, MATH101"
S075,3.8,"['Security', 'Core']",Computer Science,0.75,3.75181975226015,0.9375,"CS401, SEC401, SEC301, AI402"
S076,2.57,"['Data Science', 'Core']",Data Science,0.0,2.328208347068635,0.75,"MATH201, AI402, SEC301, ELEC1"
S077,0.0,"['Data Science', 'Security']",Data Science,0.0,1.8580357754421595,0.25,"CS101, MATH101"
S078,2.2,"['Data Science', 'Systems']",Data Science,0.0,2.1041712266766037,0.375,"CS201, MATH101"
S079,2.33,"['AI', 'Systems']",Computer Science,0.0,2.342327186982779,0.625,"CS301, MATH101, SEC301, ELEC2"
S080,3.11,"['Security', 'AI']",Cyber Security,0.75,3.2418496480036145,0.75,"SEC301, ELEC2, AI301, ELEC1"
S081,3.43,"['AI', 'Data Science']",AI Engineering,0.0,3.0911478694478562,0.5,"CS201, MATH201"
S082,2.39,"['Data Science', 'Systems']",Computer Science,0.0,2.317497083142431,0.375,"CS201, MATH101"
S083,3.42,"['AI', 'Core']",Computer Science,0.25,3.3090199830369547,0.875,"CS401, SEC401, ELEC2, ELEC1"
S084,2.33,"['Data Science', 'Systems']",Data Science,0.0,2.3100902664822334,0.375,"CS201, MATH101"
S085,3.85,"['Security', 'AI']",Cyber Security,0.0,3.7454464741724065,0.375,"CS101, MATH201"
S086,1.94,"['Security', 'Systems']",Cyber Security,0.0,1.7292615641825235,0.375,"CS101, MATH201"
S087,0.0,"['Data Science', 'Systems']",Data Science,0.0,2.0406751201933337,0.25,"CS101, MATH101"
S088,3.96,"['Data Science', 'Systems']",Data Science,0.0,3.741707447720497,0.25,CS101
S089,0.0,"['Systems', 'Data Science']",Computer Science,0.0,2.0406751201933337,0.25,"CS101, MATH101"
S090,3.1,"['AI', 'Security']",AI Engineering,0.0,2.8468655306406534,0.6875,"MATH201, DS201, CS401, ELEC1"
S091,2.98,"['Data Science', 'Security']",Data Science,0.0,2.747147081045115,0.6666666666666666,"MATH201, AI301, ELEC1"
S092,3.16,"['Systems', 'Core']",Computer Science,0.0,2.904563854215394,0.875,"SEC401, AI402, ELEC2, SEC301"
S093,3.36,"['Data Science', 'Core']",Data Science,0.25,3.0551285022972117,0.9375,"CS401, AI402, SEC401, AI301"
S094,3.48,"['Core', 'Data Science']",Computer Science,0.25,3.252995227386823,0.9375,"CS401, SEC401, AI402, ELEC2"
S095,0.0,"['Security', 'AI']",Cyber Security,0.0,1.9621338119332776,0.25,"CS101, MATH101"
S096,2.08,"['AI', 'Systems']",AI Engineering,0.0,1.9626687157241816,0.5625,"CS301, MATH101, DS201, SEC301"
S097,3.28,"['AI', 'Core']",Computer Science,0.0,3.1082760887690455,0.75,"SEC401, SEC301, ELEC1, DS201"
S098,3.08,"['Core', 'Data Science']",Computer Science,0.5,3.23419913544954,0.5,"CS201, MATH201"
S099,0.0,"['Systems', 'AI']",Computer Science,0.0,1.7665827266504712,0.25,"CS101, MATH101"
